"State or territory - ASGS 2021","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations",
"Age of person in single years",
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"11",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"12",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"13",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"14",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"15",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"16",28.8,24.39,,16.3,33.65,"*",11.9,33.75,"*",4.8,np,"**",4.6,33.64,"*",0,0.00,,0,0.00,,1,np,"**",0,0.00,,0,0.00,,9.9,38.38,"*",7,np,"**",9.9,np,"**",5,np,"**",7.6,41.98,"*",0,0.00,,0.8,np,"**",1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,32.8,22.88,,18.8,39.53,"*",12.7,np,"**",8.6,np,"**",11.4,29.58,"*",0,0.00,,0.7,np,"**",3.2,24.60,,0,0.00,,0,0.00,,
"17",21.1,41.27,"*",19.4,48.69,"*",17.9,39.80,"*",2.6,np,"**",9.3,48.16,"*",1.3,np,"**",0.8,48.11,"*",0.6,41.39,"*",0,0.00,,0,0.00,,24,30.77,"*",16.7,np,"**",8.3,np,"**",2.7,np,"**",4.4,np,"**",2.1,49.71,"*",0.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,41.5,26.20,"*",50.4,24.62,,33.5,28.55,"*",8,41.81,"*",14.9,36.97,"*",4.2,30.95,"*",0.8,np,"**",0.6,np,"**",0,0.00,,0,0.00,,
"18",60,29.60,"*",76.1,28.84,"*",19.6,np,"**",0,0.00,,26.8,27.57,"*",3.4,42.31,"*",0.9,np,"**",2.4,np,"**",0,0.00,,0,0.00,,56.2,29.43,"*",42.1,np,"**",36.5,42.58,"*",0,0.00,,5.1,np,"**",2.5,np,"**",0.9,np,"**",1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,113.7,18.92,,90.8,30.72,"*",82.4,23.38,,8.6,np,"**",24.5,32.22,"*",5.9,37.92,"*",1.5,np,"**",2.7,np,"**",0,0.00,,0,0.00,,
