"Body mass index - measured - categories (whole years scale for all ages)","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations",
"Age of person in single years",
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"11",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"12",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"13",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"14",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"15",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"16",0,0.00,,0,0.00,,3,np,"**",41.4,23.02,,0,0.00,,8.9,35.16,"*",5.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.6,np,"**",20.4,31.58,"*",0,0.00,,7.7,40.52,"*",7.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.6,np,"**",60.6,18.60,,0,0.00,,15,26.32,"*",17.1,38.01,"*",0,0.00,,0,0.00,,
"17",0,0.00,,0,0.00,,0,0.00,,27.7,33.54,"*",0,0.00,,22.1,34.58,"*",12.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.5,np,"**",43,22.10,,0,0.00,,19.7,42.42,"*",6.7,49.08,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.2,38.21,"*",72.8,19.14,,0,0.00,,39.3,27.96,"*",17.9,np,"**",0,0.00,,0,0.00,,
"18",0,0.00,,0,0.00,,0,0.00,,20.2,49.91,"*",94.7,22.10,,27.5,np,"**",19.2,49.47,"*",20,np,"**",0,0.00,,0,0.00,,0,0.00,,8.9,np,"**",37.1,np,"**",49.5,33.57,"*",34.7,37.80,"*",4.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,8.9,np,"**",73.9,27.69,"*",130.5,20.74,,67.9,29.78,"*",12.8,np,"**",20,np,"**",0,0.00,,
"19",0,0.00,,0,0.00,,15.6,np,"**",21.4,np,"**",65.6,23.80,,17.4,np,"**",7.8,np,"**",11.6,42.25,"*",0,0.00,,0,0.00,,0,0.00,,19.4,np,"**",15.1,np,"**",45,28.14,"*",70.1,27.07,"*",6.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,14.7,np,"**",51.8,33.87,"*",98.5,18.37,,88.4,21.85,,11,np,"**",15.1,np,"**",12.1,np,"**",
"20",0,0.00,,0,0.00,,3.2,np,"**",6.7,np,"**",58.9,28.13,"*",29,39.76,"*",16.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",14.9,np,"**",44.4,37.58,"*",35.2,33.44,"*",9.4,np,"**",36.3,38.28,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.2,np,"**",31,38.57,"*",107.7,22.54,,52.4,29.67,"*",28,41.66,"*",35.5,38.63,"*",21.8,np,"**",
