"Body mass index - measured - categories (whole years scale for all ages)","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations",
"Age of person in single years",
"31",0,0.00,,0,0.00,,0,0.00,,5,np,"**",37.3,29.99,"*",62.7,25.60,"*",12.4,np,"**",11.6,np,"**",12.1,np,"**",2.3,np,"**",0,0.00,,0,0.00,,13.2,np,"**",80.6,25.65,"*",63.5,21.42,,32.2,38.90,"*",17.3,39.58,"*",3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.3,np,"**",0,0.00,,0,0.00,,22.3,42.99,"*",121.7,18.82,,140.7,13.52,,50.4,31.22,"*",27.5,39.25,"*",6.8,np,"**",
"32",0,0.00,,0,0.00,,0,0.00,,0,0.00,,48.8,27.36,"*",54.8,24.13,,35.8,25.70,"*",32.5,28.41,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.2,np,"**",97.7,19.59,,47.2,25.81,"*",47.1,30.59,"*",5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.7,np,"**",7.2,np,"**",154.5,14.30,,96.3,17.83,,81,20.91,,38.8,25.19,"*",11.2,np,"**",
"33",0,0.00,,0,0.00,,0,0.00,,9.3,np,"**",24.6,33.33,"*",83.6,17.94,,37.6,29.31,"*",15.2,37.93,"*",6.2,np,"**",0,0.00,,0,0.00,,0,0.00,,16.5,47.83,"*",81.7,20.69,,42.1,26.65,"*",25.4,35.40,"*",9.1,np,"**",9.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,20.6,46.57,"*",103.3,17.75,,128.7,14.38,,68,18.10,,28.5,36.72,"*",15.7,np,"**",
"34",0,0.00,,0,0.00,,0,0.00,,0,0.00,,45.1,26.73,"*",73.4,20.83,,14.4,49.93,"*",9.2,np,"**",2.3,np,"**",0,0.00,,0,0.00,,13.3,np,"**",7,np,"**",72.7,21.28,,56.5,22.00,,41.8,27.69,"*",16.7,43.03,"*",1.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.3,np,"**",8.5,np,"**",118,15.47,,125.1,14.53,,50.1,27.62,"*",35.6,26.64,"*",3.7,np,"**",
"35",0,0.00,,0,0.00,,0,0.00,,0,0.00,,40.7,31.18,"*",61.5,22.04,,32.7,27.77,"*",28.7,39.25,"*",3,np,"**",0,0.00,,0,0.00,,3.4,np,"**",6.8,np,"**",73.8,18.17,,51.5,22.23,,12.6,34.28,"*",23.3,33.18,"*",14.3,45.99,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.8,np,"**",6.8,np,"**",116.2,14.08,,111.9,14.97,,40.9,25.13,"*",48.4,28.72,"*",17.9,38.51,"*",
"36",0,0.00,,0,0.00,,0,0.00,,2.9,np,"**",23,31.14,"*",45,25.89,"*",25.5,41.36,"*",11,np,"**",3.5,np,"**",0,0.00,,0,0.00,,9.9,43.80,"*",4.2,np,"**",53.7,18.66,,59,18.53,,22.4,36.52,"*",8.9,np,"**",17.5,40.33,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.9,43.80,"*",6.1,np,"**",76.7,16.82,,102.5,15.21,,49.5,26.26,"*",22.8,30.75,"*",19,39.32,"*",
"37",0,0.00,,0,0.00,,0,0.00,,7.6,np,"**",53.8,23.53,,55.4,19.46,,31,27.94,"*",10.4,np,"**",7.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,71.2,20.80,,26.3,36.51,"*",44.4,24.29,,20.1,36.38,"*",3.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.9,43.02,"*",124.9,14.32,,84.5,16.60,,63.5,22.34,,26.6,33.87,"*",9.2,np,"**",
"38",0,0.00,,0,0.00,,0,0.00,,0,0.00,,44.9,25.75,"*",74.9,16.40,,39,25.04,"*",12.7,np,"**",5.4,np,"**",0,0.00,,0,0.00,,0,0.00,,12.9,np,"**",62.6,22.43,,56.2,19.71,,43.8,23.43,,6.6,np,"**",17.6,36.74,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,27.5,32.64,"*",104.7,16.55,,122.2,13.61,,74.9,18.23,,23.4,32.81,"*",13,np,"**",
"39",0,0.00,,0,0.00,,0,0.00,,0,0.00,,38,29.05,"*",48.7,19.89,,30,29.56,"*",13.8,np,"**",4.5,np,"**",0,0.00,,4.3,np,"**",7.6,np,"**",0,0.00,,58.9,19.42,,51,28.81,"*",37.7,25.51,"*",14.4,48.55,"*",2.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.3,np,"**",7.6,np,"**",1.7,np,"**",97.2,15.99,,100.3,16.54,,64.7,19.96,,34.7,27.94,"*",6.9,np,"**",
"40",0,0.00,,0,0.00,,0,0.00,,0,0.00,,42.6,23.72,,94.3,18.07,,49.8,21.24,,15.4,np,"**",9.3,np,"**",0,0.00,,0,0.00,,0,0.00,,5.5,np,"**",70.4,19.03,,52.2,19.18,,14.3,27.77,"*",12.9,np,"**",8.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.3,np,"**",116.2,13.76,,154.6,12.30,,63.7,16.47,,33.6,29.50,"*",22.9,34.47,"*",
"41",0,0.00,,0,0.00,,0,0.00,,0,0.00,,39.3,23.99,,68.9,19.77,,53.2,25.94,"*",4.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.7,np,"**",50.7,23.20,,52.6,23.64,,28.7,41.65,"*",9.2,np,"**",13.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.7,np,"**",85.8,17.02,,121.5,15.86,,76.8,24.45,,17.1,38.37,"*",17.5,np,"**",
"42",0,0.00,,0,0.00,,0,0.00,,0,0.00,,38.8,28.11,"*",86.5,14.27,,35.8,29.21,"*",21.9,np,"**",4.6,np,"**",0,0.00,,0,0.00,,11,np,"**",7.1,np,"**",60.6,20.47,,37.1,23.64,,18.1,38.51,"*",2.4,np,"**",3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,11,np,"**",7.1,np,"**",96.6,16.17,,116.5,13.42,,49.2,25.76,"*",18,np,"**",10.1,np,"**",
"43",0,0.00,,0,0.00,,0,0.00,,0,0.00,,31.2,28.01,"*",69.1,16.59,,56.8,20.49,,11,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.9,np,"**",62.8,22.36,,47.7,22.89,,29,33.20,"*",11.5,43.20,"*",14.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,10.2,np,"**",87.6,17.51,,110.9,14.45,,81.2,16.87,,29.7,27.57,"*",9,np,"**",
"44",0,0.00,,0,0.00,,0,0.00,,0,0.00,,25.3,28.89,"*",48.4,25.08,"*",27.7,42.93,"*",9.5,np,"**",2,np,"**",0,0.00,,0,0.00,,0,0.00,,10.7,47.00,"*",44.8,22.29,,69,18.78,,17.4,42.58,"*",12.6,np,"**",6.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,12.7,42.04,"*",73.1,16.38,,121.1,16.04,,54.4,25.57,"*",30.9,30.83,"*",10.6,35.44,"*",
"45",0,0.00,,0,0.00,,0,0.00,,0,0.00,,44.2,22.76,,67.2,19.89,,32.1,28.25,"*",11.8,np,"**",10.9,np,"**",0,0.00,,0,0.00,,0,0.00,,4.3,np,"**",43,21.62,,61.3,21.90,,30.5,34.54,"*",13.4,40.45,"*",10,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.7,np,"**",88.6,14.03,,130.9,13.54,,72,17.83,,28.3,33.77,"*",20.8,36.63,"*",
"46",0,0.00,,0,0.00,,0,0.00,,0,0.00,,20.9,np,"**",53.6,25.70,"*",28.2,27.28,"*",0.9,np,"**",1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,6.6,np,"**",28.9,24.72,,49,28.24,"*",40,31.37,"*",14.3,np,"**",11.1,43.00,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.6,np,"**",60.2,21.63,,106,18.59,,76.6,18.23,,20.1,39.11,"*",12.7,35.11,"*",
"47",0,0.00,,0,0.00,,0,0.00,,0,0.00,,26.4,32.57,"*",61,24.14,,32.9,27.65,"*",12,49.11,"*",4.2,np,"**",0,0.00,,0,0.00,,0,0.00,,2.7,np,"**",35.6,31.51,"*",29.6,29.29,"*",22.4,36.41,"*",13.4,45.86,"*",2.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.7,np,"**",62.5,21.30,,93.2,17.77,,52.5,22.52,,27.8,28.50,"*",9.5,np,"**",
"48",0,0.00,,0,0.00,,0,0.00,,0,0.00,,41.1,24.54,,84.7,24.83,,26.2,42.74,"*",25.8,31.49,"*",21.4,46.00,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,43.9,24.14,,35.6,28.24,"*",29.8,26.17,"*",15,np,"**",2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3,np,"**",78.9,16.54,,120.3,19.80,,61.8,21.19,,39.7,26.73,"*",25.9,35.68,"*",
"49",0,0.00,,0,0.00,,0,0.00,,6.1,np,"**",29.4,32.98,"*",44.1,21.13,,12.8,33.19,"*",12.8,np,"**",19.6,42.96,"*",0,0.00,,0,0.00,,0,0.00,,7.9,np,"**",67.3,20.21,,44.4,27.11,"*",38.4,40.77,"*",33.1,29.24,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.2,47.64,"*",104.2,15.54,,86.4,15.61,,62.1,25.02,"*",54,25.41,"*",18.8,43.09,"*",
"50",0,0.00,,0,0.00,,0,0.00,,0,0.00,,22.1,31.76,"*",68.7,21.01,,47.6,28.75,"*",13.1,np,"**",6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,61,20.32,,64.7,20.37,,30.4,41.78,"*",15.7,47.54,"*",12,35.99,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,85.7,16.32,,124,17.60,,84,20.07,,26.8,35.66,"*",19,40.90,"*",
"51",0,0.00,,0,0.00,,0,0.00,,0,0.00,,28.5,42.40,"*",62.5,22.75,,33.7,25.97,"*",0,0.00,,7.1,np,"**",0,0.00,,0,0.00,,1.7,np,"**",0,0.00,,45.9,23.99,,31.6,28.91,"*",22.8,33.62,"*",22.4,41.21,"*",18.1,47.28,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.7,np,"**",0,0.00,,85.9,17.42,,96.6,17.58,,49.6,22.66,,22.4,41.21,"*",25.2,37.56,"*",
"52",0,0.00,,0,0.00,,0,0.00,,0,0.00,,14.6,np,"**",58.4,21.07,,37.3,37.59,"*",16.9,43.76,"*",4.9,45.26,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,52,22.70,,61.2,24.97,,28.5,38.60,"*",9.8,np,"**",14.9,41.88,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.4,np,"**",64.7,20.42,,121.7,15.59,,67.5,25.44,"*",25.2,41.71,"*",16.2,38.56,"*",
"53",0,0.00,,0,0.00,,0,0.00,,0,0.00,,23.8,38.98,"*",45.4,24.35,,23.9,32.32,"*",7.4,np,"**",32.5,34.32,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,30.7,36.56,"*",70.3,22.12,,11.1,42.84,"*",9.1,np,"**",31.8,37.93,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.5,np,"**",68.5,21.96,,111.5,15.65,,35.1,27.91,"*",25.8,47.43,"*",61.7,26.69,"*",
"54",0,0.00,,0,0.00,,0,0.00,,0,0.00,,32.7,32.57,"*",76.6,23.06,,33.3,37.98,"*",8.1,40.43,"*",1.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,30.7,31.49,"*",53.5,25.30,"*",38.6,21.64,,14.7,47.52,"*",15.3,39.88,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.9,np,"**",69.5,19.33,,128.2,18.29,,71.6,22.17,,21.2,34.98,"*",16.6,36.12,"*",
"55",0,0.00,,0,0.00,,0,0.00,,0,0.00,,31,31.25,"*",45.2,26.72,"*",32.4,42.66,"*",5.2,np,"**",3.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,29.5,24.57,,39,24.87,,36.6,22.40,,17.7,47.81,"*",10,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.5,np,"**",55.6,23.25,,73.2,19.13,,69.8,24.24,,17.2,49.71,"*",13.8,42.02,"*",
"56",0,0.00,,0,0.00,,6.3,np,"**",0,0.00,,27.2,31.60,"*",46,32.38,"*",44.5,25.95,"*",17.8,42.46,"*",4.5,np,"**",0,0.00,,0,0.00,,0,0.00,,4,np,"**",53.8,22.12,,54.1,21.53,,30.8,26.24,"*",15.8,36.95,"*",6.6,45.16,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.3,np,"**",4,np,"**",73.3,19.47,,98.5,21.27,,68.5,23.14,,35.7,24.96,,14.2,33.46,"*",
"57",0,0.00,,0,0.00,,0,0.00,,0,0.00,,47,24.37,,52,22.50,,32.9,32.53,"*",23.6,44.33,"*",17.3,42.35,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,40.5,31.77,"*",49.6,27.32,"*",32.5,27.25,"*",15.6,43.95,"*",9.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.8,np,"**",0,0.00,,89,19.11,,101.5,20.28,,61.9,20.91,,41,29.78,"*",25.1,32.33,"*",
"58",0,0.00,,0,0.00,,0,0.00,,1.9,np,"**",28.8,29.22,"*",75,19.66,,40.6,28.47,"*",10,np,"**",12.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,17.7,29.64,"*",44.3,24.29,,22.8,28.70,"*",3.9,np,"**",9.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.1,np,"**",39.3,24.49,,120.8,14.51,,67.4,17.42,,14.6,47.58,"*",24.6,31.15,"*",
"59",0,0.00,,0,0.00,,0,0.00,,0,0.00,,37.2,24.77,,42.6,28.76,"*",29.3,33.80,"*",4.5,np,"**",15.5,np,"**",0,0.00,,0,0.00,,0,0.00,,3.3,np,"**",46.8,18.80,,49.2,23.26,,41.6,23.15,,10.6,np,"**",8.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.3,np,"**",79.5,15.46,,98.6,17.78,,75,18.98,,15.2,np,"**",23.4,41.08,"*",
"60",0,0.00,,0,0.00,,0,0.00,,0,0.00,,23.4,44.29,"*",54.2,24.48,,19.5,38.34,"*",5.3,np,"**",3.8,np,"**",0,0.00,,0,0.00,,0,0.00,,5.3,np,"**",27.7,24.13,,54.4,21.21,,35.2,23.05,,17.5,41.09,"*",8.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.3,np,"**",55.5,20.45,,111.5,14.81,,54.6,18.27,,28,30.38,"*",18.7,35.79,"*",
"61",0,0.00,,0,0.00,,0,0.00,,1.1,np,"**",22.2,32.60,"*",69,24.89,,48.6,28.03,"*",6,np,"**",7.3,40.60,"*",0,0.00,,0,0.00,,0,0.00,,4.2,np,"**",36.2,21.10,,63.2,19.81,,33.7,24.32,,20.6,np,"**",7.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.9,np,"**",59.8,17.03,,122.8,16.63,,87.7,17.93,,27,39.25,"*",16.7,43.37,"*",
"62",0,0.00,,0,0.00,,0,0.00,,4.8,np,"**",14.5,42.06,"*",43.8,19.91,,35.9,24.41,,9.5,38.51,"*",3.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,27.4,25.97,"*",55.4,23.26,,42.3,24.59,,19.1,30.85,"*",3.5,45.37,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4,np,"**",39.5,21.97,,100.7,14.25,,79.4,14.53,,23,29.22,"*",7.4,45.76,"*",
"63",5.4,np,"**",0,0.00,,0,0.00,,0,0.00,,40.4,23.49,,64.7,19.84,,22.8,28.69,"*",4.5,np,"**",0,0.00,,0,0.00,,0,0.00,,4.5,np,"**",3,np,"**",50.7,23.01,,47.9,19.51,,19.6,29.43,"*",13.4,47.25,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.4,np,"**",0,0.00,,4.5,np,"**",3.2,np,"**",91.6,15.31,,102.8,14.51,,38.6,22.99,,17.7,40.69,"*",8.9,np,"**",
"64",0,0.00,,0,0.00,,0,0.00,,6.3,np,"**",18,37.22,"*",61.6,21.25,,28.6,22.19,,15.1,36.81,"*",12.3,44.90,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,43.1,21.94,,46.8,19.76,,31.2,23.97,,8.7,47.64,"*",2.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,10.3,np,"**",56.4,20.94,,112.5,14.50,,52.7,19.21,,26,24.00,,11.7,49.09,"*",
"65",0,0.00,,0,0.00,,0,0.00,,0,0.00,,21.6,27.18,"*",48.6,22.59,,50.6,20.73,,6.9,np,"**",3.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,37.5,30.06,"*",28,31.54,"*",21.8,26.59,"*",9.3,38.57,"*",8.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",0,0.00,,60,19.78,,85,16.34,,69.6,17.68,,23.7,22.45,,16.7,36.97,"*",
"66",0,0.00,,0,0.00,,0,0.00,,0,0.00,,27.8,30.85,"*",43.1,22.83,,22.2,30.93,"*",17,26.02,"*",5.7,np,"**",0,0.00,,0,0.00,,0,0.00,,10.3,48.07,"*",43.9,21.12,,50.3,19.19,,24.9,37.18,"*",18.6,36.06,"*",19.9,33.56,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.9,np,"**",7.9,np,"**",71.3,18.14,,91.2,15.07,,48.9,23.84,,27.4,24.30,,25.5,28.21,"*",
"67",0,0.00,,0,0.00,,0,0.00,,0,0.00,,16,31.21,"*",49.6,17.94,,31.4,25.14,"*",27.7,27.73,"*",0,0.00,,1.5,np,"**",0,0.00,,0,0.00,,0,0.00,,31.8,26.77,"*",37.9,22.66,,29.3,25.91,"*",24.9,27.20,"*",17.9,36.83,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.5,np,"**",0,0.00,,0,0.00,,0,0.00,,53.5,18.50,,87.6,15.15,,57.7,17.69,,47.2,20.12,,17.9,36.83,"*",
"68",0,0.00,,0,0.00,,0,0.00,,0,0.00,,25.4,34.38,"*",24.8,29.21,"*",34.4,23.95,,13,np,"**",6.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,24.9,26.62,"*",35.1,22.55,,24.5,28.91,"*",7.1,np,"**",6.9,40.31,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,48.2,21.50,,64.3,15.11,,48.9,20.61,,28.9,24.57,,13.1,41.01,"*",
"69",0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.9,43.44,"*",41.9,19.35,,25,32.35,"*",9.9,np,"**",2.7,np,"**",0,0.00,,0,0.00,,0,0.00,,8.4,34.57,"*",41.2,29.72,"*",37.4,23.73,,21.7,31.10,"*",20.3,38.19,"*",8.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,8.4,34.57,"*",47.3,27.72,"*",82.5,15.84,,52.3,20.33,,30.7,30.40,"*",12,np,"**",
"70",0,0.00,,0,0.00,,0,0.00,,0,0.00,,17.8,30.76,"*",55.5,20.31,,25.3,27.66,"*",11.7,48.48,"*",8.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,31.7,33.18,"*",46.3,19.04,,23.6,28.93,"*",9.6,39.98,"*",6.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,55.3,22.59,,100.5,12.60,,49.8,19.83,,13.5,46.14,"*",18.5,30.40,"*",
"71",0,0.00,,0,0.00,,0,0.00,,0,0.00,,23.7,36.19,"*",31.5,22.38,,30.1,38.78,"*",15.5,37.69,"*",1.7,np,"**",0,0.00,,0,0.00,,0,0.00,,3.5,np,"**",25.6,27.81,"*",44.9,18.42,,19.2,33.37,"*",9,49.75,"*",13.1,43.47,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.5,np,"**",57,20.13,,73.3,16.17,,54,27.44,"*",22.2,34.78,"*",17,33.28,"*",
