"Australian Adult Alcohol Guideline 2020","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations",
"Age of person in single years",
"45",69.7,20.70,,93.5,17.84,,6.6,np,"**",14.8,40.11,"*",0,0.00,,0,0.00,,28.7,30.66,"*",95,15.77,,19.8,39.28,"*",7,np,"**",0,0.00,,5.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,108.4,15.59,,188.4,10.02,,34.2,26.10,"*",24.8,39.98,"*",0,0.00,,5.7,np,"**",
"46",50,22.85,,52.5,26.29,"*",17.6,np,"**",4.2,np,"**",0,0.00,,0,0.00,,16.5,36.32,"*",82.8,18.76,,24.1,45.12,"*",25.4,33.51,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,63.1,21.25,,142.6,13.13,,33.5,39.11,"*",22.7,39.03,"*",0,0.00,,0,0.00,,
"47",42.4,22.92,,72.4,25.04,"*",13.9,40.18,"*",10.8,np,"**",0,0.00,,0,0.00,,23.3,29.62,"*",53.3,24.70,,18.6,np,"**",8.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,73.2,15.46,,124.6,18.13,,31.1,40.68,"*",22.6,35.61,"*",0,0.00,,3.1,np,"**",
"48",60.4,22.04,,101.1,22.18,,23,29.01,"*",6.6,np,"**",0,0.00,,0,0.00,,26.6,38.11,"*",70.2,18.84,,19.6,39.70,"*",22.6,39.15,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,92.9,19.57,,167.6,13.92,,33.5,31.06,"*",33.8,30.48,"*",0,0.00,,0,0.00,,
"49",47.5,22.46,,54,19.17,,13.3,np,"**",0,0.00,,0,0.00,,0,0.00,,52.9,25.25,"*",105.6,20.27,,19.7,48.79,"*",25,45.88,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,99,17.41,,169.3,13.66,,46.6,24.13,,23.5,np,"**",0,0.00,,0,0.00,,
"50",69.6,25.31,"*",73.4,19.43,,5.3,np,"**",7.5,np,"**",0,0.00,,0,0.00,,28,30.53,"*",88.3,16.37,,26.5,44.63,"*",48.7,28.49,"*",0,0.00,,10.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,94.5,19.22,,155.5,12.54,,23,49.78,"*",56.1,26.41,"*",0,0.00,,9.2,np,"**",
"51",44.3,29.23,"*",65.7,23.61,,14.1,np,"**",4.3,np,"**",0,0.00,,5.5,np,"**",34.9,29.11,"*",79,19.52,,9.7,np,"**",14.5,44.23,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,82.2,18.15,,141.4,15.21,,32.5,25.60,"*",18.7,np,"**",0,0.00,,5.6,np,"**",
"52",58.7,23.84,,60.6,21.40,,8.5,37.96,"*",4.4,np,"**",0,0.00,,0,0.00,,46.6,25.05,"*",78.2,19.84,,17.6,np,"**",15.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,104.7,15.80,,150.3,12.96,,23.2,46.69,"*",29.3,37.17,"*",0,0.00,,0,0.00,,
"53",32.7,27.82,"*",75.8,18.86,,20.3,41.72,"*",5.3,np,"**",0,0.00,,0,0.00,,30.9,39.94,"*",96.3,15.93,,25.6,38.29,"*",15.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,66.9,21.15,,162.1,13.23,,39.9,29.91,"*",21.1,45.21,"*",0,0.00,,0,0.00,,
"54",51.7,25.90,"*",82.1,22.73,,15.5,45.22,"*",15.4,43.11,"*",0,0.00,,0,0.00,,40.3,24.55,,80.6,16.12,,11.9,np,"**",16.2,44.62,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,84.4,20.75,,157.1,14.00,,29.1,30.77,"*",28.5,31.90,"*",0,0.00,,0,0.00,,
"55",49.4,26.54,"*",35.3,34.76,"*",15.2,43.07,"*",7.5,np,"**",0,0.00,,0,0.00,,40.8,27.68,"*",60.8,16.69,,22.5,36.60,"*",8.1,np,"**",0,0.00,,2.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,82.3,19.66,,101.7,17.87,,38,27.25,"*",22.4,35.22,"*",0,0.00,,2.4,np,"**",
"56",73.3,20.04,,53.3,28.28,"*",10.5,np,"**",4.1,np,"**",0,0.00,,0,0.00,,28.6,32.13,"*",97.4,17.48,,13.6,44.20,"*",13.5,38.67,"*",0,0.00,,4.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,103.7,18.16,,155.5,16.01,,34.2,23.77,,22.8,26.78,"*",0,0.00,,4.5,np,"**",
"57",77.6,20.86,,53.3,23.23,,20,31.05,"*",13.5,np,"**",0,0.00,,0,0.00,,21.8,33.08,"*",70,17.18,,26.2,29.89,"*",20.8,np,"**",0,0.00,,11.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,100.7,16.56,,118.9,13.56,,37.6,25.61,"*",42.3,37.24,"*",0,0.00,,26.6,49.84,"*",
"58",79.5,19.56,,81,20.69,,15,40.92,"*",0,0.00,,0,0.00,,0,0.00,,26.3,25.35,"*",63.9,18.50,,15.7,30.46,"*",5.2,39.90,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,101,17.24,,151.4,13.39,,27.7,28.48,"*",5.2,39.90,"*",0,0.00,,0,0.00,,
"59",68.7,19.81,,39.5,26.44,"*",14.2,np,"**",3.7,np,"**",0,0.00,,0,0.00,,40.5,25.07,"*",79.8,15.69,,14.4,43.76,"*",22.2,39.18,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,107.7,15.55,,119.7,14.20,,32.1,28.99,"*",24.9,36.78,"*",0,0.00,,0,0.00,,
"60",52,24.64,,39,26.35,"*",16.3,35.64,"*",18.4,np,"**",0,0.00,,10.9,np,"**",25.5,30.74,"*",85.2,14.06,,29.9,29.56,"*",20.4,38.13,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,75.4,18.47,,122.9,13.04,,32.1,29.15,"*",43.3,27.15,"*",0,0.00,,10.9,np,"**",
"61",55,18.87,,77.6,21.19,,5.1,np,"**",12.7,40.09,"*",0,0.00,,0,0.00,,29.6,27.14,"*",97.8,14.61,,17,37.28,"*",29.5,26.62,"*",0,0.00,,5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,83.4,15.57,,177,12.65,,27.5,30.68,"*",37.7,23.46,,0,0.00,,5,np,"**",
"62",47.5,24.02,,48.8,21.57,,13,45.03,"*",3.9,np,"**",0,0.00,,3.7,np,"**",22.9,31.29,"*",87.6,17.66,,16.1,34.11,"*",12.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,70.4,18.08,,141.6,11.67,,30.5,24.84,,25.3,33.48,"*",0,0.00,,3.5,np,"**",
"63",28.2,34.14,"*",71,23.28,,25.2,39.08,"*",1.9,np,"**",0,0.00,,7.1,np,"**",27,30.74,"*",80.8,14.11,,26.8,28.77,"*",3.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,54.8,21.64,,150.7,13.13,,49.4,25.56,"*",6.6,np,"**",0,0.00,,7.1,np,"**",
"64",45.1,21.80,,70.8,16.33,,17.6,34.98,"*",7.5,49.05,"*",0,0.00,,0,0.00,,24,35.17,"*",81.1,14.94,,15,40.34,"*",19.4,40.53,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,66.5,19.22,,152.6,10.65,,28.5,29.37,"*",31.1,27.93,"*",0,0.00,,4.4,np,"**",
"65",51,18.27,,64.7,17.38,,18.6,29.86,"*",2.4,np,"**",0,0.00,,0,0.00,,12.7,41.85,"*",68.7,14.52,,13.3,43.87,"*",20.2,35.29,"*",0,0.00,,3.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,65.9,16.26,,130,10.44,,34.8,22.44,,19.1,39.98,"*",0,0.00,,3.5,np,"**",
"66",45.4,21.65,,42,20.44,,11.2,34.37,"*",7.3,np,"**",0,0.00,,0,0.00,,24.4,34.00,"*",91.8,13.93,,24.3,42.14,"*",13.2,33.96,"*",0,0.00,,6.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,74.9,16.38,,137.5,11.15,,36.1,30.17,"*",22.2,43.38,"*",0,0.00,,4.4,np,"**",
"67",42.3,19.15,,59.7,18.58,,12.7,43.31,"*",3.5,np,"**",0,0.00,,0,0.00,,17.8,25.78,"*",88.6,13.16,,11.9,49.43,"*",17.4,39.85,"*",0,0.00,,3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,63.4,13.80,,158.2,8.59,,28.7,25.13,"*",13.5,np,"**",0,0.00,,2.6,np,"**",
"68",34.5,21.85,,61.9,18.32,,10.8,46.97,"*",4.5,np,"**",0,0.00,,0,0.00,,17,27.38,"*",52.3,15.97,,24.4,27.20,"*",9.2,47.71,"*",0,0.00,,5.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,50.7,17.02,,106.5,12.74,,28.4,26.25,"*",14.9,34.56,"*",0,0.00,,5.1,np,"**",
"69",27.5,25.93,"*",46.7,19.85,,8.1,np,"**",3.8,np,"**",0,0.00,,0,0.00,,17.7,30.60,"*",67.7,17.09,,35.8,35.26,"*",10.8,40.85,"*",0,0.00,,5.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,42.5,22.43,,113.4,11.98,,49.2,26.01,"*",16.9,32.19,"*",0,0.00,,6.2,np,"**",
"70",58.5,21.77,,42.8,21.06,,17.3,34.10,"*",3.2,np,"**",0,0.00,,0,0.00,,23.9,27.80,"*",66.5,16.53,,9.8,33.27,"*",25.9,29.81,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,79.7,18.24,,109.4,12.92,,24,27.70,"*",20.9,37.42,"*",0,0.00,,0,0.00,,
"71",28.5,24.12,,42.4,19.61,,30.9,41.78,"*",1.7,np,"**",0,0.00,,0,0.00,,26.4,33.53,"*",53.1,18.39,,22.8,25.59,"*",20.5,26.65,"*",0,0.00,,4.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,52.9,20.48,,95.4,14.47,,43.5,30.62,"*",18.8,29.55,"*",0,0.00,,4.8,np,"**",
"72",37.5,22.48,,39.7,20.15,,18.4,29.94,"*",0,0.00,,0,0.00,,0,0.00,,20.8,28.73,"*",56.8,17.93,,17.1,31.04,"*",5.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,51,18.34,,98.6,12.66,,27.7,25.55,"*",9.1,33.95,"*",0,0.00,,0,0.00,,
"73",42.6,21.39,,41.4,28.32,"*",5.3,np,"**",5.8,np,"**",0,0.00,,0,0.00,,15.8,32.52,"*",60.6,19.10,,21.8,36.52,"*",5.9,np,"**",0,0.00,,3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,57.5,17.92,,101.1,16.26,,32.9,26.87,"*",19.4,27.28,"*",0,0.00,,7.4,39.39,"*",
"74",30.6,29.26,"*",61.2,16.59,,8.2,np,"**",0,0.00,,0,0.00,,0,0.00,,11.8,43.87,"*",47,18.18,,14.2,40.52,"*",14.8,38.71,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,45.3,24.19,,102.2,12.81,,28.5,24.07,,19.9,34.18,"*",0,0.00,,0,0.00,,
"75",23.7,27.29,"*",59.2,18.70,,8.5,49.88,"*",0,0.00,,0,0.00,,0,0.00,,12,42.55,"*",58.9,15.87,,13.9,37.29,"*",13,38.55,"*",0,0.00,,5.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,37.6,21.17,,113.1,11.17,,20.2,33.09,"*",10.9,47.48,"*",0,0.00,,6.7,np,"**",
"76",30.2,25.94,"*",52.3,19.81,,16.7,33.23,"*",0,0.00,,0,0.00,,0,0.00,,10.9,42.57,"*",38,20.39,,11.1,45.34,"*",16.1,42.54,"*",0,0.00,,6.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,31.9,27.12,"*",88.2,15.37,,25.8,25.80,"*",24.2,30.50,"*",0,0.00,,6.4,np,"**",
"77",27.2,27.91,"*",32.5,21.83,,17.5,32.51,"*",0,0.00,,0,0.00,,0,0.00,,16.7,48.13,"*",37.9,20.51,,29.4,31.84,"*",11.1,43.48,"*",0,0.00,,2.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,39.4,26.77,"*",75.9,14.05,,43.7,25.16,"*",12.1,40.17,"*",0,0.00,,2.1,np,"**",
"78",26.7,30.59,"*",32,20.73,,2.6,np,"**",10.9,np,"**",0,0.00,,0,0.00,,9.1,np,"**",37.2,19.88,,8.1,np,"**",19.8,35.10,"*",0,0.00,,1.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,41.1,21.15,,75.3,12.99,,18.8,31.10,"*",30.4,28.54,"*",0,0.00,,3.9,np,"**",
"79",22.7,29.08,"*",20.2,38.17,"*",8.9,np,"**",2.9,np,"**",0,0.00,,0,0.00,,10.7,31.34,"*",38.8,18.91,,26.2,44.22,"*",7.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,32.1,22.72,,64.3,16.49,,35,34.01,"*",15.3,34.93,"*",0,0.00,,0,0.00,,
"80",15.3,46.06,"*",23.8,28.89,"*",12.1,np,"**",2.9,np,"**",0,0.00,,0,0.00,,15.6,38.17,"*",29.5,25.56,"*",10.1,np,"**",3.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,31.1,27.91,"*",53.2,19.51,,34.3,31.93,"*",7.8,39.74,"*",0,0.00,,0,0.00,,
"81",19.6,36.95,"*",27,32.71,"*",12.1,np,"**",10.2,np,"**",0,0.00,,0,0.00,,11.6,40.98,"*",18.9,30.00,"*",4.7,np,"**",26.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,25.3,32.48,"*",51,18.73,,17.7,40.33,"*",38.4,38.11,"*",0,0.00,,0,0.00,,
"82",1.8,np,"**",21.7,33.44,"*",16,38.39,"*",7.8,np,"**",0,0.00,,0,0.00,,1.4,np,"**",11.2,38.68,"*",8.5,np,"**",8.8,46.63,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.8,np,"**",35.8,24.04,,25.5,28.82,"*",14.3,48.50,"*",0,0.00,,0,0.00,,
"83",14.7,31.98,"*",22.8,25.06,"*",10.6,np,"**",4.2,np,"**",0,0.00,,0,0.00,,1.5,np,"**",26.9,26.90,"*",5.9,np,"**",13.7,46.49,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,11.3,41.04,"*",41.1,23.70,,17.3,32.81,"*",22,30.79,"*",0,0.00,,0,0.00,,
"84",0,0.00,,18,39.91,"*",3.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,15.3,33.90,"*",18.9,39.72,"*",4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,29.4,26.64,"*",22.8,34.16,"*",6.9,48.27,"*",0,0.00,,4.5,np,"**",
"85",3,np,"**",15.5,42.11,"*",1.7,np,"**",4,np,"**",0,0.00,,0,0.00,,0,0.00,,23.6,29.34,"*",22.2,38.32,"*",7.6,47.05,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.1,np,"**",38.3,26.07,"*",23.9,38.29,"*",5.7,np,"**",0,0.00,,0,0.00,,
"86",5,np,"**",8,42.09,"*",3.7,np,"**",4.4,np,"**",0,0.00,,0,0.00,,3.8,np,"**",16.6,28.59,"*",6.6,np,"**",4.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,10.2,43.81,"*",27.9,19.97,,9.1,np,"**",5.9,np,"**",0,0.00,,0,0.00,,
"87",2.6,np,"**",16.7,32.45,"*",1.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.6,47.78,"*",9.2,37.81,"*",4.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.4,np,"**",20.3,28.34,"*",11.3,30.59,"*",2.8,np,"**",0,0.00,,3.2,np,"**",
"88",5.1,np,"**",2.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,14.5,39.62,"*",5.8,np,"**",2.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.2,np,"**",22.6,30.85,"*",5.8,np,"**",2.4,np,"**",0,0.00,,0,0.00,,
"89",15.3,42.10,"*",4.1,np,"**",2.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,15.8,41.03,"*",4.6,np,"**",3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,15.3,42.10,"*",20.4,33.55,"*",6.5,np,"**",3.2,np,"**",0,0.00,,0,0.00,,
"90",0,0.00,,1.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.8,np,"**",1.8,np,"**",5.5,43.72,"*",4.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.8,np,"**",5.2,40.38,"*",4.3,np,"**",4.1,np,"**",0,0.00,,0,0.00,,
"91",0,0.00,,12.8,np,"**",0.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.6,np,"**",3.5,np,"**",4.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.7,np,"**",16.3,43.86,"*",4.9,np,"**",4.2,np,"**",0,0.00,,0,0.00,,
"92",0,0.00,,3.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.4,np,"**",3.7,np,"**",2.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.1,np,"**",3.7,np,"**",2.6,np,"**",0,0.00,,0,0.00,,
"93",4.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.4,np,"**",2.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"94",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"95",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"96",0,0.00,,2.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"97",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.8,np,"**",0,0.00,,0,0.00,,0,0.00,,
"98",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"99",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.9,np,"**",0,0.00,,0,0.00,,
"Total",3377.5,2.53,,4251.5,2.15,,814.3,5.68,,775,5.62,,0,0.00,,96.6,16.90,,1771.6,3.78,,5332.5,1.78,,1274.7,4.32,,1222.3,3.86,,0,0.00,,137.1,16.28,,7.7,np,"**",27.1,31.32,"*",14.9,np,"**",0,0.00,,0,0.00,,0,0.00,,5158.2,2.17,,9610.5,1.30,,2106.5,3.17,,1997.9,3.08,,0,0.00,,229.3,13.09,,

np RSE data is concealed

"Data source: National Health Survey, 2022, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals."
"INFO","Continuous variables in this table have been randomly adjusted to avoid the release of confidential data."


Symbol,Description
"#","(000's)"
"*","Estimate has a relative standard error of 25% to 50% and should be used with caution"
"**","Estimate has a relative standard error greater than 50% and is considered too unreliable for general use"


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
