age,gender,level,value
27,Non-binary,No condition,0.0
27,Non-binary,All conditions,0.0
27,Total,No condition,58.3
27,Total,All conditions,276.6
28,Man,No condition,28.3
28,Man,All conditions,147.0
28,Woman,No condition,32.0
28,Woman,All conditions,129.3
28,Non-binary,No condition,0.0
28,Non-binary,All conditions,19.4
28,Total,No condition,62.7
28,Total,All conditions,283.9
29,Man,No condition,40.5
29,Man,All conditions,159.1
29,Woman,No condition,6.1
29,Woman,All conditions,155.7
29,Non-binary,No condition,0.0
29,Non-binary,All conditions,0.0
29,Total,No condition,45.6
29,Total,All conditions,313.7
30,Man,No condition,43.2
30,Man,All conditions,171.7
30,Woman,No condition,25.2
30,Woman,All conditions,135.0
30,Non-binary,No condition,0.0
30,Non-binary,All conditions,1.9
30,Total,No condition,77.5
30,Total,All conditions,306.6
31,Man,No condition,36.1
31,Man,All conditions,122.7
31,Woman,No condition,13.6
31,Woman,All conditions,219.6
31,Non-binary,No condition,0.0
31,Non-binary,All conditions,0.0
31,Total,No condition,43.7
31,Total,All conditions,346.1
32,Man,No condition,37.8
32,Man,All conditions,132.3
32,Woman,No condition,24.0
32,Woman,All conditions,185.6
32,Non-binary,No condition,0.0
32,Non-binary,All conditions,0.0
32,Total,No condition,67.0
32,Total,All conditions,330.0
33,Man,No condition,14.2
33,Man,All conditions,166.0
33,Woman,No condition,20.1
33,Woman,All conditions,182.4
33,Non-binary,No condition,0.0
33,Non-binary,All conditions,0.0
33,Total,No condition,36.2
33,Total,All conditions,350.4
34,Man,No condition,25.6
34,Man,All conditions,121.2
34,Woman,No condition,25.7
34,Woman,All conditions,188.3
34,Non-binary,No condition,0.0
34,Non-binary,All conditions,0.0
34,Total,No condition,55.1
34,Total,All conditions,315.9
35,Man,No condition,19.4
35,Man,All conditions,143.4
35,Woman,No condition,20.4
35,Woman,All conditions,172.7
35,Non-binary,No condition,0.0
35,Non-binary,All conditions,0.0
35,Total,No condition,40.0
35,Total,All conditions,321.2
36,Man,No condition,17.0
36,Man,All conditions,97.0
36,Woman,No condition,7.5
36,Woman,All conditions,163.4
36,Non-binary,No condition,0.0
36,Non-binary,All conditions,0.0
36,Total,No condition,22.0
36,Total,All conditions,256.5
37,Man,No condition,21.7
37,Man,All conditions,138.9
37,Woman,No condition,10.0
37,Woman,All conditions,158.9
37,Non-binary,No condition,0.0
37,Non-binary,All conditions,0.0
37,Total,No condition,28.7
37,Total,All conditions,299.6
38,Man,No condition,21.5
38,Man,All conditions,159.7
38,Woman,No condition,9.4
38,Woman,All conditions,177.8
38,Non-binary,No condition,0.0
38,Non-binary,All conditions,0.0
38,Total,No condition,32.7
38,Total,All conditions,340.5
39,Man,No condition,19.6
39,Man,All conditions,122.2
39,Woman,No condition,15.2
39,Woman,All conditions,162.3
39,Non-binary,No condition,0.0
39,Non-binary,All conditions,0.0
39,Total,No condition,36.3
39,Total,All conditions,290.4
40,Man,No condition,28.5
40,Man,All conditions,192.6
40,Woman,No condition,21.4
40,Woman,All conditions,152.0
40,Non-binary,No condition,0.0
40,Non-binary,All conditions,0.0
40,Total,No condition,54.2
40,Total,All conditions,345.1
41,Man,No condition,20.5
41,Man,All conditions,153.5
41,Woman,No condition,20.3
41,Woman,All conditions,142.7
41,Non-binary,No condition,0.0
41,Non-binary,All conditions,0.0
41,Total,No condition,48.0
41,Total,All conditions,290.8
42,Man,No condition,19.7
42,Man,All conditions,163.2
42,Woman,No condition,8.5
42,Woman,All conditions,124.3
42,Non-binary,No condition,0.0
42,Non-binary,All conditions,3.0
42,Total,No condition,37.6
42,Total,All conditions,280.8
43,Man,No condition,12.8
43,Man,All conditions,151.7
43,Woman,No condition,4.3
43,Woman,All conditions,179.6
43,Non-binary,No condition,0.0
43,Non-binary,All conditions,0.0
43,Total,No condition,12.5
43,Total,All conditions,337.8
44,Man,No condition,9.8
44,Man,All conditions,116.4
44,Woman,No condition,8.7
44,Woman,All conditions,148.4
44,Non-binary,No condition,0.0
44,Non-binary,All conditions,0.0
44,Total,No condition,30.4
44,Total,All conditions,265.2
45,Man,No condition,23.7
45,Man,All conditions,167.6
45,Woman,No condition,26.2
45,Woman,All conditions,151.0
45,Non-binary,No condition,0.0
45,Non-binary,All conditions,0.0
45,Total,No condition,36.5
45,Total,All conditions,313.8
46,Man,No condition,2.0
46,Man,All conditions,109.5
46,Woman,No condition,5.9
46,Woman,All conditions,150.6
46,Non-binary,No condition,0.0
46,Non-binary,All conditions,0.0
46,Total,No condition,8.6
46,Total,All conditions,264.8
47,Man,No condition,13.8
47,Man,All conditions,125.6
47,Woman,No condition,13.4
47,Woman,All conditions,94.8
47,Non-binary,No condition,0.0
47,Non-binary,All conditions,0.0
47,Total,No condition,35.3
47,Total,All conditions,223.9
48,Man,No condition,3.6
48,Man,All conditions,202.0
48,Woman,No condition,0.0
48,Woman,All conditions,134.5
48,Non-binary,No condition,0.0
48,Non-binary,All conditions,0.0
48,Total,No condition,0.0
48,Total,All conditions,329.0
49,Man,No condition,0.0
49,Man,All conditions,125.1
49,Woman,No condition,9.8
49,Woman,All conditions,205.3
49,Non-binary,No condition,0.0
49,Non-binary,All conditions,0.0
49,Total,No condition,6.9
49,Total,All conditions,332.6
50,Man,No condition,4.8
50,Man,All conditions,157.7
50,Woman,No condition,5.4
50,Woman,All conditions,184.4
50,Non-binary,No condition,0.0
50,Non-binary,All conditions,0.0
50,Total,No condition,5.2
50,Total,All conditions,342.1
51,Man,No condition,0.0
51,Man,All conditions,134.1
51,Woman,No condition,5.8
51,Woman,All conditions,137.5
51,Non-binary,No condition,0.0
51,Non-binary,All conditions,0.0
51,Total,No condition,5.8
51,Total,All conditions,274.7
52,Man,No condition,0.0
52,Man,All conditions,139.5
52,Woman,No condition,0.0
52,Woman,All conditions,157.7
52,Non-binary,No condition,0.0
52,Non-binary,All conditions,0.0
52,Total,No condition,0.0
52,Total,All conditions,297.3
53,Man,No condition,0.0
53,Man,All conditions,133.5
53,Woman,No condition,0.0
53,Woman,All conditions,161.3
53,Non-binary,No condition,0.0
53,Non-binary,All conditions,0.0
53,Total,No condition,1.8
53,Total,All conditions,298.3
54,Man,No condition,0.0
54,Man,All conditions,158.0
54,Woman,No condition,0.0
