age,gender,level,value
56,Total,Total,305.0
57,Man,Man,181.1
57,Woman,Woman,147.2
57,Non-binary,Non-binary,0.0
57,Total,Total,336.3
58,Man,Man,172.5
58,Woman,Woman,107.0
58,Non-binary,Non-binary,0.0
58,Total,Total,282.6
59,Man,Man,136.2
59,Woman,Woman,157.4
59,Non-binary,Non-binary,0.0
59,Total,Total,290.7
60,Man,Man,123.4
60,Woman,Woman,156.4
60,Non-binary,Non-binary,0.0
60,Total,Total,281.2
61,Man,Man,145.8
61,Woman,Woman,174.3
61,Non-binary,Non-binary,0.0
61,Total,Total,324.3
62,Man,Man,118.3
62,Woman,Woman,144.6
62,Non-binary,Non-binary,0.0
62,Total,Total,270.5
63,Man,Man,141.6
63,Woman,Woman,134.3
63,Non-binary,Non-binary,0.0
63,Total,Total,275.8
64,Man,Man,137.0
64,Woman,Woman,135.6
64,Non-binary,Non-binary,0.0
64,Total,Total,280.2
65,Man,Man,136.0
65,Woman,Woman,116.0
65,Non-binary,Non-binary,0.0
65,Total,Total,250.6
66,Man,Man,116.2
66,Woman,Woman,156.4
66,Non-binary,Non-binary,0.0
66,Total,Total,273.8
67,Man,Man,122.8
67,Woman,Woman,135.2
67,Non-binary,Non-binary,1.1
67,Total,Total,257.6
68,Man,Man,106.8
68,Woman,Woman,95.7
68,Non-binary,Non-binary,0.0
68,Total,Total,209.0
69,Man,Man,92.8
69,Woman,Woman,133.3
69,Non-binary,Non-binary,0.0
69,Total,Total,227.2
70,Man,Man,121.1
70,Woman,Woman,120.8
70,Non-binary,Non-binary,0.0
70,Total,Total,239.6
71,Man,Man,104.7
71,Woman,Woman,126.4
71,Non-binary,Non-binary,0.0
71,Total,Total,225.2
72,Man,Man,93.8
72,Woman,Woman,96.9
72,Non-binary,Non-binary,0.0
72,Total,Total,195.0
73,Man,Man,104.2
73,Woman,Woman,104.3
73,Non-binary,Non-binary,0.0
73,Total,Total,215.7
74,Man,Man,102.6
74,Woman,Woman,95.0
74,Non-binary,Non-binary,0.0
74,Total,Total,196.2
75,Man,Man,94.1
75,Woman,Woman,102.1
75,Non-binary,Non-binary,0.0
75,Total,Total,196.2
76,Man,Man,100.0
76,Woman,Woman,89.6
76,Non-binary,Non-binary,0.0
76,Total,Total,181.2
77,Man,Man,77.1
77,Woman,Woman,93.6
77,Non-binary,Non-binary,0.0
77,Total,Total,171.9
78,Man,Man,79.5
78,Woman,Woman,86.5
78,Non-binary,Non-binary,0.0
78,Total,Total,169.4
79,Man,Man,60.8
79,Woman,Woman,85.3
79,Non-binary,Non-binary,0.0
79,Total,Total,142.7
80,Man,Man,62.1
80,Woman,Woman,64.5
80,Non-binary,Non-binary,0.0
