age,gender,level,value
4,Total,Tasmania,0.0
4,Total,Northern Territory,0.0
4,Total,Australian Capital Territory,0.0
4,Total,Other Territories,0.0
4,Total,Outside Australia,0.0
5,Man,New South Wales,0.0
5,Man,Victoria,0.0
5,Man,Queensland,0.0
5,Man,South Australia,0.0
5,Man,Western Australia,0.0
5,Man,Tasmania,0.0
5,Man,Northern Territory,0.0
5,Man,Australian Capital Territory,0.0
5,Man,Other Territories,0.0
5,Man,Outside Australia,0.0
5,Woman,New South Wales,0.0
5,Woman,Victoria,0.0
5,Woman,Queensland,0.0
5,Woman,South Australia,0.0
5,Woman,Western Australia,0.0
5,Woman,Tasmania,0.0
5,Woman,Northern Territory,0.0
5,Woman,Australian Capital Territory,0.0
5,Woman,Other Territories,0.0
5,Woman,Outside Australia,0.0
5,Non-binary,New South Wales,0.0
5,Non-binary,Victoria,0.0
5,Non-binary,Queensland,0.0
5,Non-binary,South Australia,0.0
5,Non-binary,Western Australia,0.0
5,Non-binary,Tasmania,0.0
5,Non-binary,Northern Territory,0.0
5,Non-binary,Australian Capital Territory,0.0
5,Non-binary,Other Territories,0.0
5,Non-binary,Outside Australia,0.0
5,Total,New South Wales,0.0
5,Total,Victoria,0.0
5,Total,Queensland,0.0
5,Total,South Australia,0.0
5,Total,Western Australia,0.0
5,Total,Tasmania,0.0
5,Total,Northern Territory,0.0
5,Total,Australian Capital Territory,0.0
5,Total,Other Territories,0.0
5,Total,Outside Australia,0.0
6,Man,New South Wales,0.0
6,Man,Victoria,0.0
6,Man,Queensland,0.0
6,Man,South Australia,0.0
6,Man,Western Australia,0.0
6,Man,Tasmania,0.0
6,Man,Northern Territory,0.0
6,Man,Australian Capital Territory,0.0
6,Man,Other Territories,0.0
6,Man,Outside Australia,0.0
6,Woman,New South Wales,0.0
6,Woman,Victoria,0.0
6,Woman,Queensland,0.0
6,Woman,South Australia,0.0
6,Woman,Western Australia,0.0
6,Woman,Tasmania,0.0
6,Woman,Northern Territory,0.0
6,Woman,Australian Capital Territory,0.0
6,Woman,Other Territories,0.0
6,Woman,Outside Australia,0.0
6,Non-binary,New South Wales,0.0
6,Non-binary,Victoria,0.0
6,Non-binary,Queensland,0.0
6,Non-binary,South Australia,0.0
6,Non-binary,Western Australia,0.0
6,Non-binary,Tasmania,0.0
6,Non-binary,Northern Territory,0.0
6,Non-binary,Australian Capital Territory,0.0
6,Non-binary,Other Territories,0.0
6,Non-binary,Outside Australia,0.0
6,Total,New South Wales,0.0
6,Total,Victoria,0.0
6,Total,Queensland,0.0
6,Total,South Australia,0.0
6,Total,Western Australia,0.0
6,Total,Tasmania,0.0
6,Total,Northern Territory,0.0
6,Total,Australian Capital Territory,0.0
6,Total,Other Territories,0.0
6,Total,Outside Australia,0.0
7,Man,New South Wales,0.0
7,Man,Victoria,0.0
7,Man,Queensland,0.0
7,Man,South Australia,0.0
7,Man,Western Australia,0.0
7,Man,Tasmania,0.0
7,Man,Northern Territory,0.0
7,Man,Australian Capital Territory,0.0
7,Man,Other Territories,0.0
7,Man,Outside Australia,0.0
7,Woman,New South Wales,0.0
7,Woman,Victoria,0.0
7,Woman,Queensland,0.0
7,Woman,South Australia,0.0
7,Woman,Western Australia,0.0
7,Woman,Tasmania,0.0
7,Woman,Northern Territory,0.0
7,Woman,Australian Capital Territory,0.0
7,Woman,Other Territories,0.0
7,Woman,Outside Australia,0.0
7,Non-binary,New South Wales,0.0
7,Non-binary,Victoria,0.0
7,Non-binary,Queensland,0.0
7,Non-binary,South Australia,0.0
7,Non-binary,Western Australia,0.0
7,Non-binary,Tasmania,0.0
7,Non-binary,Northern Territory,0.0
7,Non-binary,Australian Capital Territory,0.0
7,Non-binary,Other Territories,0.0
7,Non-binary,Outside Australia,0.0
7,Total,New South Wales,0.0
7,Total,Victoria,0.0
7,Total,Queensland,0.0
7,Total,South Australia,0.0
7,Total,Western Australia,0.0
7,Total,Tasmania,0.0
7,Total,Northern Territory,0.0
7,Total,Australian Capital Territory,0.0
7,Total,Other Territories,0.0
7,Total,Outside Australia,0.0
8,Man,New South Wales,0.0
8,Man,Victoria,0.0
8,Man,Queensland,0.0
8,Man,South Australia,0.0
8,Man,Western Australia,0.0
8,Man,Tasmania,0.0
8,Man,Northern Territory,0.0
8,Man,Australian Capital Territory,0.0
8,Man,Other Territories,0.0
8,Man,Outside Australia,0.0
8,Woman,New South Wales,0.0
8,Woman,Victoria,0.0
8,Woman,Queensland,0.0
8,Woman,South Australia,0.0
8,Woman,Western Australia,0.0
8,Woman,Tasmania,0.0
8,Woman,Northern Territory,0.0
8,Woman,Australian Capital Territory,0.0
8,Woman,Other Territories,0.0
8,Woman,Outside Australia,0.0
8,Non-binary,New South Wales,0.0
8,Non-binary,Victoria,0.0
8,Non-binary,Queensland,0.0
8,Non-binary,South Australia,0.0
8,Non-binary,Western Australia,0.0
8,Non-binary,Tasmania,0.0
8,Non-binary,Northern Territory,0.0
8,Non-binary,Australian Capital Territory,0.0
8,Non-binary,Other Territories,0.0
