age,gender,level,value
14,Total,Current daily smoker,0.0
14,Total,Current smoker - other,0.0
14,Total,Current non-smoker,0.0
15,Man,Current daily smoker,0.0
15,Man,Current smoker - other,0.0
15,Man,Current non-smoker,0.0
15,Woman,Current daily smoker,0.0
15,Woman,Current smoker - other,0.0
15,Woman,Current non-smoker,0.0
15,Non-binary,Current daily smoker,0.0
15,Non-binary,Current smoker - other,0.0
15,Non-binary,Current non-smoker,0.0
15,Total,Current daily smoker,0.0
15,Total,Current smoker - other,0.0
15,Total,Current non-smoker,0.0
16,Man,Current daily smoker,0.0
16,Man,Current smoker - other,0.0
16,Man,Current non-smoker,54.7
16,Woman,Current daily smoker,0.0
16,Woman,Current smoker - other,0.0
16,Woman,Current non-smoker,35.5
16,Non-binary,Current daily smoker,0.0
16,Non-binary,Current smoker - other,0.0
16,Non-binary,Current non-smoker,0.0
16,Total,Current daily smoker,0.0
16,Total,Current smoker - other,0.0
16,Total,Current non-smoker,93.4
17,Man,Current daily smoker,0.0
17,Man,Current smoker - other,0.0
17,Man,Current non-smoker,62.2
17,Woman,Current daily smoker,0.0
17,Woman,Current smoker - other,0.0
17,Woman,Current non-smoker,63.0
17,Non-binary,Current daily smoker,0.0
17,Non-binary,Current smoker - other,0.0
17,Non-binary,Current non-smoker,0.0
17,Total,Current daily smoker,3.6
17,Total,Current smoker - other,0.0
17,Total,Current non-smoker,137.3
18,Man,Current daily smoker,8.9
18,Man,Current smoker - other,11.0
18,Man,Current non-smoker,163.5
18,Woman,Current daily smoker,0.0
18,Woman,Current smoker - other,3.4
18,Woman,Current non-smoker,132.7
18,Non-binary,Current daily smoker,0.0
18,Non-binary,Current smoker - other,0.0
18,Non-binary,Current non-smoker,0.0
18,Total,Current daily smoker,11.6
18,Total,Current smoker - other,7.2
18,Total,Current non-smoker,289.4
19,Man,Current daily smoker,0.0
19,Man,Current smoker - other,15.7
19,Man,Current non-smoker,124.6
19,Woman,Current daily smoker,14.5
19,Woman,Current smoker - other,0.0
19,Woman,Current non-smoker,147.9
19,Non-binary,Current daily smoker,0.0
19,Non-binary,Current smoker - other,0.0
19,Non-binary,Current non-smoker,0.0
19,Total,Current daily smoker,11.3
19,Total,Current smoker - other,24.3
19,Total,Current non-smoker,270.1
20,Man,Current daily smoker,18.2
20,Man,Current smoker - other,0.0
20,Man,Current non-smoker,106.0
20,Woman,Current daily smoker,2.4
20,Woman,Current smoker - other,0.0
20,Woman,Current non-smoker,144.9
20,Non-binary,Current daily smoker,0.0
20,Non-binary,Current smoker - other,0.0
20,Non-binary,Current non-smoker,3.4
20,Total,Current daily smoker,18.4
20,Total,Current smoker - other,6.0
20,Total,Current non-smoker,238.8
21,Man,Current daily smoker,14.5
21,Man,Current smoker - other,10.0
21,Man,Current non-smoker,129.8
21,Woman,Current daily smoker,10.4
21,Woman,Current smoker - other,0.0
21,Woman,Current non-smoker,94.5
21,Non-binary,Current daily smoker,0.0
21,Non-binary,Current smoker - other,0.0
21,Non-binary,Current non-smoker,5.1
21,Total,Current daily smoker,22.6
21,Total,Current smoker - other,10.0
21,Total,Current non-smoker,231.8
22,Man,Current daily smoker,20.5
22,Man,Current smoker - other,11.8
22,Man,Current non-smoker,132.9
22,Woman,Current daily smoker,5.9
22,Woman,Current smoker - other,9.2
22,Woman,Current non-smoker,140.8
22,Non-binary,Current daily smoker,0.0
22,Non-binary,Current smoker - other,0.0
22,Non-binary,Current non-smoker,6.0
22,Total,Current daily smoker,19.6
22,Total,Current smoker - other,17.1
22,Total,Current non-smoker,261.7
23,Man,Current daily smoker,9.2
23,Man,Current smoker - other,2.3
23,Man,Current non-smoker,148.0
23,Woman,Current daily smoker,7.8
23,Woman,Current smoker - other,5.7
23,Woman,Current non-smoker,126.4
23,Non-binary,Current daily smoker,0.0
23,Non-binary,Current smoker - other,0.0
23,Non-binary,Current non-smoker,0.0
23,Total,Current daily smoker,28.2
23,Total,Current smoker - other,7.9
23,Total,Current non-smoker,267.6
24,Man,Current daily smoker,14.6
24,Man,Current smoker - other,12.1
24,Man,Current non-smoker,95.3
24,Woman,Current daily smoker,13.3
24,Woman,Current smoker - other,0.0
24,Woman,Current non-smoker,114.4
24,Non-binary,Current daily smoker,0.0
24,Non-binary,Current smoker - other,0.0
24,Non-binary,Current non-smoker,0.0
24,Total,Current daily smoker,31.3
24,Total,Current smoker - other,10.4
24,Total,Current non-smoker,203.8
25,Man,Current daily smoker,33.4
25,Man,Current smoker - other,0.0
25,Man,Current non-smoker,135.0
25,Woman,Current daily smoker,18.9
25,Woman,Current smoker - other,0.0
25,Woman,Current non-smoker,100.5
25,Non-binary,Current daily smoker,0.0
25,Non-binary,Current smoker - other,0.0
25,Non-binary,Current non-smoker,0.0
25,Total,Current daily smoker,49.6
25,Total,Current smoker - other,3.8
25,Total,Current non-smoker,233.1
26,Man,Current daily smoker,19.4
26,Man,Current smoker - other,0.0
26,Man,Current non-smoker,116.8
26,Woman,Current daily smoker,9.7
26,Woman,Current smoker - other,0.0
26,Woman,Current non-smoker,123.0
26,Non-binary,Current daily smoker,0.0
26,Non-binary,Current smoker - other,0.0
26,Non-binary,Current non-smoker,0.0
26,Total,Current daily smoker,24.0
26,Total,Current smoker - other,3.1
26,Total,Current non-smoker,239.7
27,Man,Current daily smoker,27.3
27,Man,Current smoker - other,0.0
27,Man,Current non-smoker,127.6
27,Woman,Current daily smoker,9.1
27,Woman,Current smoker - other,1.0
27,Woman,Current non-smoker,158.7
27,Non-binary,Current daily smoker,0.0
27,Non-binary,Current smoker - other,0.0
27,Non-binary,Current non-smoker,0.0
27,Total,Current daily smoker,40.7
27,Total,Current smoker - other,2.2
27,Total,Current non-smoker,288.8
28,Man,Current daily smoker,25.1
28,Man,Current smoker - other,4.9
28,Man,Current non-smoker,153.3
28,Woman,Current daily smoker,5.6
28,Woman,Current smoker - other,0.6
28,Woman,Current non-smoker,161.4
28,Non-binary,Current daily smoker,0.0
28,Non-binary,Current smoker - other,0.0
28,Non-binary,Current non-smoker,19.4
28,Total,Current daily smoker,31.4
28,Total,Current smoker - other,8.0
28,Total,Current non-smoker,320.1
