age,gender,level,value
15,Man,Met 2014 physical activity guidelines,0.0
15,Man,Did not meet 2014 physical activity guidelines,0.0
15,Woman,Met 2014 physical activity guidelines,0.0
15,Woman,Did not meet 2014 physical activity guidelines,0.0
15,Non-binary,Met 2014 physical activity guidelines,0.0
15,Non-binary,Did not meet 2014 physical activity guidelines,0.0
15,Total,Met 2014 physical activity guidelines,0.0
15,Total,Did not meet 2014 physical activity guidelines,0.0
16,Man,Met 2014 physical activity guidelines,6.8
16,Man,Did not meet 2014 physical activity guidelines,44.6
16,Woman,Met 2014 physical activity guidelines,0.0
16,Woman,Did not meet 2014 physical activity guidelines,40.6
16,Non-binary,Met 2014 physical activity guidelines,0.0
16,Non-binary,Did not meet 2014 physical activity guidelines,0.0
16,Total,Met 2014 physical activity guidelines,4.6
16,Total,Did not meet 2014 physical activity guidelines,86.5
17,Man,Met 2014 physical activity guidelines,3.9
17,Man,Did not meet 2014 physical activity guidelines,68.3
17,Woman,Met 2014 physical activity guidelines,0.0
17,Woman,Did not meet 2014 physical activity guidelines,73.2
17,Non-binary,Met 2014 physical activity guidelines,0.0
17,Non-binary,Did not meet 2014 physical activity guidelines,7.1
17,Total,Met 2014 physical activity guidelines,3.9
17,Total,Did not meet 2014 physical activity guidelines,143.6
18,Man,Met 2014 physical activity guidelines,61.1
18,Man,Did not meet 2014 physical activity guidelines,111.9
18,Woman,Met 2014 physical activity guidelines,44.6
18,Woman,Did not meet 2014 physical activity guidelines,117.0
18,Non-binary,Met 2014 physical activity guidelines,0.0
18,Non-binary,Did not meet 2014 physical activity guidelines,0.0
18,Total,Met 2014 physical activity guidelines,95.5
18,Total,Did not meet 2014 physical activity guidelines,225.7
19,Man,Met 2014 physical activity guidelines,52.5
19,Man,Did not meet 2014 physical activity guidelines,75.7
19,Woman,Met 2014 physical activity guidelines,53.3
19,Woman,Did not meet 2014 physical activity guidelines,112.1
19,Non-binary,Met 2014 physical activity guidelines,0.0
19,Non-binary,Did not meet 2014 physical activity guidelines,0.0
19,Total,Met 2014 physical activity guidelines,118.0
19,Total,Did not meet 2014 physical activity guidelines,185.2
20,Man,Met 2014 physical activity guidelines,39.7
20,Man,Did not meet 2014 physical activity guidelines,73.9
20,Woman,Met 2014 physical activity guidelines,29.5
20,Woman,Did not meet 2014 physical activity guidelines,107.4
20,Non-binary,Met 2014 physical activity guidelines,0.0
20,Non-binary,Did not meet 2014 physical activity guidelines,3.4
20,Total,Met 2014 physical activity guidelines,84.2
20,Total,Did not meet 2014 physical activity guidelines,173.7
21,Man,Met 2014 physical activity guidelines,60.0
21,Man,Did not meet 2014 physical activity guidelines,106.2
21,Woman,Met 2014 physical activity guidelines,23.0
21,Woman,Did not meet 2014 physical activity guidelines,86.4
21,Non-binary,Met 2014 physical activity guidelines,0.0
21,Non-binary,Did not meet 2014 physical activity guidelines,1.4
21,Total,Met 2014 physical activity guidelines,82.5
21,Total,Did not meet 2014 physical activity guidelines,186.4
22,Man,Met 2014 physical activity guidelines,44.8
22,Man,Did not meet 2014 physical activity guidelines,110.1
22,Woman,Met 2014 physical activity guidelines,33.7
22,Woman,Did not meet 2014 physical activity guidelines,101.5
22,Non-binary,Met 2014 physical activity guidelines,0.0
22,Non-binary,Did not meet 2014 physical activity guidelines,0.0
22,Total,Met 2014 physical activity guidelines,91.8
22,Total,Did not meet 2014 physical activity guidelines,216.3
23,Man,Met 2014 physical activity guidelines,68.5
23,Man,Did not meet 2014 physical activity guidelines,88.5
23,Woman,Met 2014 physical activity guidelines,41.4
23,Woman,Did not meet 2014 physical activity guidelines,99.0
23,Non-binary,Met 2014 physical activity guidelines,0.0
23,Non-binary,Did not meet 2014 physical activity guidelines,0.0
23,Total,Met 2014 physical activity guidelines,102.5
23,Total,Did not meet 2014 physical activity guidelines,201.6
24,Man,Met 2014 physical activity guidelines,40.7
24,Man,Did not meet 2014 physical activity guidelines,69.7
24,Woman,Met 2014 physical activity guidelines,31.8
24,Woman,Did not meet 2014 physical activity guidelines,103.2
24,Non-binary,Met 2014 physical activity guidelines,0.0
24,Non-binary,Did not meet 2014 physical activity guidelines,0.0
24,Total,Met 2014 physical activity guidelines,69.8
24,Total,Did not meet 2014 physical activity guidelines,177.0
25,Man,Met 2014 physical activity guidelines,57.8
25,Man,Did not meet 2014 physical activity guidelines,112.2
25,Woman,Met 2014 physical activity guidelines,12.4
25,Woman,Did not meet 2014 physical activity guidelines,104.2
