age,gender,level,value
56,Total,No condition,0.0
57,Man,No condition,0.0
57,Woman,No condition,0.0
57,Non-binary,No condition,0.0
57,Total,No condition,0.0
58,Man,No condition,0.0
58,Woman,No condition,0.0
58,Non-binary,No condition,0.0
58,Total,No condition,0.0
59,Man,No condition,0.0
59,Woman,No condition,0.0
59,Non-binary,No condition,0.0
59,Total,No condition,0.0
60,Man,No condition,0.0
60,Woman,No condition,0.0
60,Non-binary,No condition,0.0
60,Total,No condition,0.0
61,Man,No condition,0.0
61,Woman,No condition,0.0
61,Non-binary,No condition,0.0
61,Total,No condition,0.0
62,Man,No condition,0.0
62,Woman,No condition,0.0
62,Non-binary,No condition,0.0
62,Total,No condition,4.5
63,Man,No condition,0.0
63,Woman,No condition,0.0
63,Non-binary,No condition,0.0
63,Total,No condition,0.0
64,Man,No condition,6.0
64,Woman,No condition,0.0
64,Non-binary,No condition,0.0
64,Total,No condition,6.0
65,Man,No condition,0.0
65,Woman,No condition,0.0
65,Non-binary,No condition,0.0
65,Total,No condition,0.0
66,Man,No condition,0.0
66,Woman,No condition,0.0
66,Non-binary,No condition,0.0
66,Total,No condition,0.0
67,Man,No condition,0.0
67,Woman,No condition,0.0
67,Non-binary,No condition,0.0
67,Total,No condition,1.1
68,Man,No condition,0.0
68,Woman,No condition,0.0
68,Non-binary,No condition,0.0
68,Total,No condition,0.0
69,Man,No condition,0.0
69,Woman,No condition,0.0
69,Non-binary,No condition,0.0
69,Total,No condition,0.0
70,Man,No condition,0.0
70,Woman,No condition,0.0
70,Non-binary,No condition,0.0
70,Total,No condition,0.0
71,Man,No condition,0.0
71,Woman,No condition,0.0
71,Non-binary,No condition,0.0
71,Total,No condition,0.0
72,Man,No condition,3.7
72,Woman,No condition,0.0
72,Non-binary,No condition,0.0
72,Total,No condition,3.7
73,Man,No condition,0.0
73,Woman,No condition,0.0
73,Non-binary,No condition,0.0
73,Total,No condition,0.0
74,Man,No condition,0.0
74,Woman,No condition,0.0
74,Non-binary,No condition,0.0
74,Total,No condition,0.0
75,Man,No condition,0.0
75,Woman,No condition,0.0
75,Non-binary,No condition,0.0
75,Total,No condition,0.0
76,Man,No condition,0.0
76,Woman,No condition,0.0
76,Non-binary,No condition,0.0
76,Total,No condition,0.0
77,Man,No condition,0.0
77,Woman,No condition,0.0
77,Non-binary,No condition,0.0
77,Total,No condition,0.0
78,Man,No condition,0.0
78,Woman,No condition,0.0
78,Non-binary,No condition,0.0
78,Total,No condition,0.0
79,Man,No condition,0.0
79,Woman,No condition,0.0
79,Non-binary,No condition,0.0
79,Total,No condition,0.0
80,Man,No condition,0.0
80,Woman,No condition,0.0
80,Non-binary,No condition,0.0
80,Total,No condition,0.0
81,Man,No condition,0.0
81,Woman,No condition,0.0
81,Non-binary,No condition,0.0
81,Total,No condition,0.0
82,Man,No condition,0.0
82,Woman,No condition,0.0
82,Non-binary,No condition,0.0
82,Total,No condition,0.0
83,Man,No condition,0.0
83,Woman,No condition,0.0
83,Non-binary,No condition,0.0
83,Total,No condition,0.0
84,Man,No condition,0.0
84,Woman,No condition,0.0
84,Non-binary,No condition,0.0
84,Total,No condition,0.0
85,Man,No condition,0.0
85,Woman,No condition,0.0
85,Non-binary,No condition,0.0
85,Total,No condition,0.0
86,Man,No condition,0.0
86,Woman,No condition,0.0
86,Non-binary,No condition,0.0
86,Total,No condition,0.0
87,Man,No condition,0.0
87,Woman,No condition,0.0
87,Non-binary,No condition,0.0
87,Total,No condition,0.0
88,Man,No condition,0.0
88,Woman,No condition,0.0
88,Non-binary,No condition,0.0
88,Total,No condition,0.0
89,Man,No condition,0.0
89,Woman,No condition,0.0
89,Non-binary,No condition,0.0
89,Total,No condition,0.0
90,Man,No condition,0.0
90,Woman,No condition,0.0
90,Non-binary,No condition,0.0
90,Total,No condition,0.0
91,Man,No condition,0.0
91,Woman,No condition,0.0
91,Non-binary,No condition,0.0
91,Total,No condition,0.0
92,Man,No condition,0.0
92,Woman,No condition,0.0
92,Non-binary,No condition,0.0
92,Total,No condition,0.0
93,Man,No condition,0.0
93,Woman,No condition,0.0
93,Non-binary,No condition,0.0
93,Total,No condition,0.0
94,Man,No condition,0.0
94,Woman,No condition,0.0
94,Non-binary,No condition,0.0
94,Total,No condition,0.0
95,Man,No condition,0.0
95,Woman,No condition,0.0
95,Non-binary,No condition,0.0
95,Total,No condition,0.0
96,Man,No condition,0.0
96,Woman,No condition,0.0
96,Non-binary,No condition,0.0
96,Total,No condition,0.0
97,Man,No condition,0.0
97,Woman,No condition,0.0
97,Non-binary,No condition,0.0
97,Total,No condition,0.0
98,Man,No condition,0.0
98,Woman,No condition,0.0
98,Non-binary,No condition,0.0
98,Total,No condition,0.0
99,Man,No condition,0.0
99,Woman,No condition,0.0
99,Non-binary,No condition,0.0
99,Total,No condition,0.0
